zona_climatica;suris_range;volris_range;supdi_range;EPgl_nren;EPgl_ren;CO2
B;100-200;50-100;200-500;125.71;13.24;25.41
B;100-200;50-100;500-1000;0.0;0.0;0.0
B;100-200;50-100;1000-5000;48.98;0.0;9.18
B;100-200;50-100;>5000;0.0;0.0;0.0
B;100-200;100-200;<50;74.6;8.41;16.98
B;100-200;100-200;50-100;89.81;6.54;19.29
B;100-200;100-200;100-200;116.76;11.61;24.21
B;100-200;100-200;200-500;115.53;10.5;24.19
B;100-200;100-200;500-1000;126.24;39.7;26.67
B;100-200;100-200;1000-5000;0.0;0.0;0.0
B;100-200;100-200;>5000;0.0;0.0;0.0
B;100-200;200-500;<50;100.44;18.79;21.6
B;100-200;200-500;50-100;82.75;11.34;17.47
B;100-200;200-500;100-200;89.81;10.32;18.61
B;100-200;200-500;200-500;137.76;16.48;28.19
B;100-200;200-500;500-1000;188.04;18.65;38.54
B;100-200;200-500;1000-5000;322.31;22.55;65.47
B;100-200;200-500;>5000;0.0;0.0;0.0
B;100-200;500-1000;<50;88.37;16.29;19.12
B;100-200;500-1000;50-100;79.61;9.95;16.81
B;100-200;500-1000;100-200;84.67;9.43;17.61
B;100-200;500-1000;200-500;122.9;17.74;25.08
B;100-200;500-1000;500-1000;163.26;22.08;32.77
B;100-200;500-1000;1000-5000;293.43;24.03;59.83
B;100-200;500-1000;>5000;0.0;0.0;0.0
B;100-200;1000-5000;<50;66.35;0.72;13.32
B;100-200;1000-5000;50-100;78.3;6.51;16.63
B;100-200;1000-5000;100-200;96.43;14.08;20.75
B;100-200;1000-5000;200-500;140.95;14.66;29.1
B;100-200;1000-5000;500-1000;205.99;26.03;42.64
B;100-200;1000-5000;1000-5000;306.1;11.24;62.17
B;100-200;1000-5000;>5000;0.0;0.0;0.0
B;100-200;5000-10000;<50;0.0;0.0;0.0
B;100-200;5000-10000;50-100;0.0;0.0;0.0
B;100-200;5000-10000;100-200;0.0;0.0;0.0
B;100-200;5000-10000;200-500;0.0;0.0;0.0
B;100-200;5000-10000;500-1000;0.0;0.0;0.0
B;100-200;5000-10000;1000-5000;0.0;0.0;0.0
B;100-200;5000-10000;>5000;0.0;0.0;0.0
B;100-200;>10000;<50;0.0;0.0;0.0
B;100-200;>10000;50-100;0.0;0.0;0.0
B;100-200;>10000;100-200;0.0;0.0;0.0
B;100-200;>10000;200-500;0.0;0.0;0.0
B;100-200;>10000;500-1000;0.0;0.0;0.0
B;100-200;>10000;1000-5000;0.0;0.0;0.0
B;100-200;>10000;>5000;0.0;0.0;0.0
B;200-500;<50;<50;0.0;0.0;0.0
B;200-500;<50;50-100;0.0;0.0;0.0
B;200-500;<50;100-200;0.0;0.0;0.0
B;200-500;<50;200-500;0.0;0.0;0.0
B;200-500;<50;500-1000;0.0;0.0;0.0
B;200-500;<50;1000-5000;0.0;0.0;0.0
B;200-500;<50;>5000;0.0;0.0;0.0
B;200-500;50-100;<50;0.0;0.0;0.0
B;200-500;50-100;50-100;0.0;0.0;0.0
B;200-500;50-100;100-200;0.0;0.0;0.0
B;200-500;50-100;200-500;55.29;0.59;11.15
B;200-500;50-100;500-1000;0.0;0.0;0.0
B;200-500;50-100;1000-5000;0.0;0.0;0.0
B;200-500;50-100;>5000;0.0;0.0;0.0
B;200-500;100-200;<50;0.0;0.0;0.0
B;200-500;100-200;50-100;39.48;2.5;14.61
B;200-500;100-200;100-200;106.57;22.06;23.89
B;200-500;100-200;200-500;76.02;5.33;16.29
B;200-500;100-200;500-1000;80.16;7.5;16.88
B;200-500;100-200;1000-5000;74.03;0.0;14.81
B;200-500;100-200;>5000;0.0;0.0;0.0
B;200-500;200-500;<50;36.49;7.16;8.37
B;200-500;200-500;50-100;93.55;4.26;18.34
B;200-500;200-500;100-200;95.52;6.44;19.03
B;200-500;200-500;200-500;103.84;12.46;22.13
B;200-500;200-500;500-1000;108.22;4.18;22.24
B;200-500;200-500;1000-5000;0.0;0.0;0.0
B;200-500;200-500;>5000;0.0;0.0;0.0
B;200-500;500-1000;<50;79.94;14.56;17.1
B;200-500;500-1000;50-100;71.36;10.94;15.02
B;200-500;500-1000;100-200;72.12;8.6;14.97
B;200-500;500-1000;200-500;87.56;13.1;18.06
B;200-500;500-1000;500-1000;125.24;23.0;25.38
B;200-500;500-1000;1000-5000;180.76;16.23;36.62
B;200-500;500-1000;>5000;0.0;0.0;0.0
B;200-500;1000-5000;<50;81.95;16.73;17.86
B;200-500;1000-5000;50-100;52.94;7.32;10.98
B;200-500;1000-5000;100-200;52.18;10.85;11.11
B;200-500;1000-5000;200-500;86.21;10.23;17.43
B;200-500;1000-5000;500-1000;115.67;21.54;23.26
B;200-500;1000-5000;1000-5000;141.6;24.75;28.64
B;200-500;1000-5000;>5000;0.0;0.0;0.0
B;200-500;5000-10000;<50;0.0;0.0;0.0
B;200-500;5000-10000;50-100;0.0;0.0;0.0
B;200-500;5000-10000;100-200;0.0;0.0;0.0
B;200-500;5000-10000;200-500;0.0;0.0;0.0
B;200-500;5000-10000;500-1000;0.0;0.0;0.0
B;200-500;5000-10000;1000-5000;0.0;0.0;0.0
B;200-500;5000-10000;>5000;0.0;0.0;0.0
B;200-500;>10000;<50;0.0;0.0;0.0
B;200-500;>10000;50-100;0.0;0.0;0.0
B;200-500;>10000;100-200;0.0;0.0;0.0
B;200-500;>10000;200-500;0.0;0.0;0.0
B;200-500;>10000;500-1000;0.0;0.0;0.0
B;200-500;>10000;1000-5000;0.0;0.0;0.0
B;200-500;>10000;>5000;0.0;0.0;0.0
B;500-1000;<50;<50;0.0;0.0;0.0
B;500-1000;<50;50-100;0.0;0.0;0.0
B;500-1000;<50;100-200;0.0;0.0;0.0
B;500-1000;<50;200-500;0.0;0.0;0.0
B;500-1000;<50;500-1000;0.0;0.0;0.0
B;500-1000;<50;1000-5000;0.0;0.0;0.0
B;500-1000;<50;>5000;0.0;0.0;0.0
B;500-1000;50-100;<50;0.0;0.0;0.0
B;500-1000;50-100;50-100;0.0;0.0;0.0
B;500-1000;50-100;100-200;0.0;0.0;0.0
B;500-1000;50-100;200-500;0.0;0.0;0.0
B;500-1000;50-100;500-1000;0.0;0.0;0.0
B;500-1000;50-100;1000-5000;0.0;0.0;0.0
B;500-1000;50-100;>5000;0.0;0.0;0.0
B;500-1000;100-200;<50;0.0;0.0;0.0
B;500-1000;100-200;50-100;0.0;0.0;0.0
B;500-1000;100-200;100-200;0.0;0.0;0.0
B;500-1000;100-200;200-500;0.0;0.0;0.0
B;500-1000;100-200;500-1000;0.0;0.0;0.0
B;500-1000;100-200;1000-5000;0.0;0.0;0.0
B;500-1000;100-200;>5000;0.0;0.0;0.0
B;500-1000;200-500;<50;0.0;0.0;0.0
B;500-1000;200-500;50-100;0.0;0.0;0.0
B;500-1000;200-500;100-200;25.23;9.61;5.57
B;500-1000;200-500;200-500;42.97;2.54;8.82
B;500-1000;200-500;500-1000;51.92;6.03;11.28
B;500-1000;200-500;1000-5000;0.0;0.0;0.0
B;500-1000;200-500;>5000;0.0;0.0;0.0
B;500-1000;500-1000;<50;0.0;0.0;0.0
B;500-1000;500-1000;50-100;0.0;0.0;0.0
B;500-1000;500-1000;100-200;0.0;0.0;0.0
B;500-1000;500-1000;200-500;34.72;0.09;6.96
B;500-1000;500-1000;500-1000;132.68;1.03;26.69
B;500-1000;500-1000;1000-5000;0.0;0.0;0.0
B;500-1000;500-1000;>5000;0.0;0.0;0.0
B;500-1000;1000-5000;<50;52.29;4.75;12.09
B;500-1000;1000-5000;50-100;67.3;11.78;14.31
B;500-1000;1000-5000;100-200;41.54;8.56;8.8
B;500-1000;1000-5000;200-500;44.95;4.17;9.16
B;500-1000;1000-5000;500-1000;87.32;16.1;17.71
B;500-1000;1000-5000;1000-5000;93.98;16.34;18.28
B;500-1000;1000-5000;>5000;0.0;0.0;0.0
B;500-1000;5000-10000;<50;0.0;0.0;0.0
B;500-1000;5000-10000;50-100;0.0;0.0;0.0
B;500-1000;5000-10000;100-200;0.0;0.0;0.0
B;500-1000;5000-10000;200-500;0.0;0.0;0.0
B;500-1000;5000-10000;500-1000;0.0;0.0;0.0
B;500-1000;5000-10000;1000-5000;0.0;0.0;0.0
B;500-1000;5000-10000;>5000;0.0;0.0;0.0
B;500-1000;>10000;<50;0.0;0.0;0.0
B;500-1000;>10000;50-100;0.0;0.0;0.0
B;500-1000;>10000;100-200;0.0;0.0;0.0
B;500-1000;>10000;200-500;0.0;0.0;0.0
B;500-1000;>10000;500-1000;0.0;0.0;0.0
B;500-1000;>10000;1000-5000;0.0;0.0;0.0
B;500-1000;>10000;>5000;0.0;0.0;0.0
B;1000-5000;<50;<50;0.0;0.0;0.0
B;1000-5000;<50;50-100;0.0;0.0;0.0
B;1000-5000;<50;100-200;0.0;0.0;0.0
B;1000-5000;<50;200-500;0.0;0.0;0.0
B;1000-5000;<50;500-1000;0.0;0.0;0.0
B;1000-5000;<50;1000-5000;0.0;0.0;0.0
B;1000-5000;<50;>5000;0.0;0.0;0.0
B;1000-5000;50-100;<50;0.0;0.0;0.0
B;1000-5000;50-100;50-100;0.0;0.0;0.0
B;1000-5000;50-100;100-200;0.0;0.0;0.0
B;1000-5000;50-100;200-500;0.0;0.0;0.0
B;1000-5000;50-100;500-1000;0.0;0.0;0.0
B;1000-5000;50-100;1000-5000;0.0;0.0;0.0
B;1000-5000;50-100;>5000;0.0;0.0;0.0
B;1000-5000;100-200;<50;0.0;0.0;0.0
B;1000-5000;100-200;50-100;0.0;0.0;0.0
B;1000-5000;100-200;100-200;0.0;0.0;0.0
B;1000-5000;100-200;200-500;0.0;0.0;0.0
B;1000-5000;100-200;500-1000;0.0;0.0;0.0
B;1000-5000;100-200;1000-5000;0.0;0.0;0.0
B;1000-5000;100-200;>5000;0.0;0.0;0.0
B;1000-5000;200-500;<50;0.0;0.0;0.0
B;1000-5000;200-500;50-100;0.0;0.0;0.0
B;1000-5000;200-500;100-200;0.0;0.0;0.0
B;1000-5000;200-500;200-500;0.0;0.0;0.0
B;1000-5000;200-500;500-1000;0.0;0.0;0.0
B;1000-5000;200-500;1000-5000;0.0;0.0;0.0
B;1000-5000;200-500;>5000;0.0;0.0;0.0
B;1000-5000;500-1000;<50;0.0;0.0;0.0
B;1000-5000;500-1000;50-100;0.0;0.0;0.0
B;1000-5000;500-1000;100-200;0.0;0.0;0.0
B;1000-5000;500-1000;200-500;0.0;0.0;0.0
B;1000-5000;500-1000;500-1000;0.0;0.0;0.0
B;1000-5000;500-1000;1000-5000;0.0;0.0;0.0
B;1000-5000;500-1000;>5000;0.0;0.0;0.0
B;1000-5000;1000-5000;<50;0.0;0.0;0.0
B;1000-5000;1000-5000;50-100;0.0;0.0;0.0
B;1000-5000;1000-5000;100-200;0.0;0.0;0.0
B;1000-5000;1000-5000;200-500;0.0;0.0;0.0
B;1000-5000;1000-5000;500-1000;0.0;0.0;0.0
B;1000-5000;1000-5000;1000-5000;0.0;0.0;0.0
B;1000-5000;1000-5000;>5000;0.0;0.0;0.0
B;1000-5000;5000-10000;<50;0.0;0.0;0.0
B;1000-5000;5000-10000;50-100;0.0;0.0;0.0
B;1000-5000;5000-10000;100-200;0.0;0.0;0.0
B;1000-5000;5000-10000;200-500;0.0;0.0;0.0
B;1000-5000;5000-10000;500-1000;0.0;0.0;0.0
B;1000-5000;5000-10000;1000-5000;0.0;0.0;0.0
B;1000-5000;5000-10000;>5000;0.0;0.0;0.0
B;1000-5000;>10000;<50;0.0;0.0;0.0
B;1000-5000;>10000;50-100;0.0;0.0;0.0
B;1000-5000;>10000;100-200;0.0;0.0;0.0
B;1000-5000;>10000;200-500;0.0;0.0;0.0
B;1000-5000;>10000;500-1000;0.0;0.0;0.0
B;1000-5000;>10000;1000-5000;0.0;0.0;0.0
B;1000-5000;>10000;>5000;0.0;0.0;0.0
B;>5000;<50;<50;0.0;0.0;0.0
B;>5000;<50;50-100;0.0;0.0;0.0
B;>5000;<50;100-200;0.0;0.0;0.0
B;>5000;<50;200-500;0.0;0.0;0.0
B;>5000;<50;500-1000;0.0;0.0;0.0
B;>5000;<50;1000-5000;0.0;0.0;0.0
B;>5000;<50;>5000;0.0;0.0;0.0
B;>5000;50-100;<50;0.0;0.0;0.0
B;>5000;50-100;50-100;0.0;0.0;0.0
B;>5000;50-100;100-200;0.0;0.0;0.0
B;>5000;50-100;200-500;0.0;0.0;0.0
B;>5000;50-100;500-1000;0.0;0.0;0.0
B;>5000;50-100;1000-5000;0.0;0.0;0.0
B;>5000;50-100;>5000;0.0;0.0;0.0
B;>5000;100-200;<50;0.0;0.0;0.0
B;>5000;100-200;50-100;0.0;0.0;0.0
B;>5000;100-200;100-200;0.0;0.0;0.0
B;>5000;100-200;200-500;0.0;0.0;0.0
B;>5000;100-200;500-1000;0.0;0.0;0.0
B;>5000;100-200;1000-5000;0.0;0.0;0.0
B;>5000;100-200;>5000;0.0;0.0;0.0
B;>5000;200-500;<50;0.0;0.0;0.0
B;>5000;200-500;50-100;0.0;0.0;0.0
B;>5000;200-500;100-200;0.0;0.0;0.0
B;>5000;200-500;200-500;0.0;0.0;0.0
B;>5000;200-500;500-1000;0.0;0.0;0.0
B;>5000;200-500;1000-5000;0.0;0.0;0.0
B;>5000;200-500;>5000;0.0;0.0;0.0
B;>5000;500-1000;<50;0.0;0.0;0.0
B;>5000;500-1000;50-100;0.0;0.0;0.0
B;>5000;500-1000;100-200;0.0;0.0;0.0
B;>5000;500-1000;200-500;0.0;0.0;0.0
B;>5000;500-1000;500-1000;0.0;0.0;0.0
B;>5000;500-1000;1000-5000;0.0;0.0;0.0
B;>5000;500-1000;>5000;0.0;0.0;0.0
B;>5000;1000-5000;<50;0.0;0.0;0.0
B;>5000;1000-5000;50-100;0.0;0.0;0.0
B;>5000;1000-5000;100-200;0.0;0.0;0.0
B;>5000;1000-5000;200-500;0.0;0.0;0.0
B;>5000;1000-5000;500-1000;0.0;0.0;0.0
B;>5000;1000-5000;1000-5000;0.0;0.0;0.0
B;>5000;1000-5000;>5000;0.0;0.0;0.0
B;>5000;5000-10000;<50;0.0;0.0;0.0
B;>5000;5000-10000;50-100;0.0;0.0;0.0
B;>5000;5000-10000;100-200;0.0;0.0;0.0
B;>5000;5000-10000;200-500;0.0;0.0;0.0
B;>5000;5000-10000;500-1000;0.0;0.0;0.0
B;>5000;5000-10000;1000-5000;0.0;0.0;0.0
B;>5000;5000-10000;>5000;0.0;0.0;0.0
B;>5000;>10000;<50;0.0;0.0;0.0
B;>5000;>10000;50-100;0.0;0.0;0.0
B;>5000;>10000;100-200;0.0;0.0;0.0
B;>5000;>10000;200-500;0.0;0.0;0.0
B;>5000;>10000;500-1000;0.0;0.0;0.0
B;>5000;>10000;1000-5000;0.0;0.0;0.0
B;>5000;>10000;>5000;0.0;0.0;0.0
C;<50;<50;<50;0.0;0.0;0.0
C;<50;<50;50-100;0.0;0.0;0.0
C;<50;<50;100-200;0.0;0.0;0.0
C;<50;<50;200-500;0.0;0.0;0.0
C;<50;<50;500-1000;0.0;0.0;0.0
C;<50;<50;1000-5000;0.0;0.0;0.0
C;<50;<50;>5000;0.0;0.0;0.0
C;<50;50-100;<50;162.42;18.88;33.39
C;<50;50-100;50-100;219.87;21.42;44.39
C;<50;50-100;100-200;296.75;18.39;58.89
C;<50;50-100;200-500;330.87;14.04;66.8
C;<50;50-100;500-1000;159.53;7.65;31.02
C;<50;50-100;1000-5000;0.0;0.0;0.0
C;<50;50-100;>5000;0.0;0.0;0.0
C;<50;100-200;<50;124.77;15.34;25.78
C;<50;100-200;50-100;141.23;17.31;28.87
C;<50;100-200;100-200;203.54;21.86;41.05
C;<50;100-200;200-500;269.25;21.6;53.88
C;<50;100-200;500-1000;319.38;26.59;64.24
C;<50;100-200;1000-5000;341.31;7.52;82.82
C;<50;100-200;>5000;0.0;0.0;0.0
C;<50;200-500;<50;136.87;17.29;28.24
C;<50;200-500;50-100;140.95;16.01;28.67
C;<50;200-500;100-200;189.24;20.96;38.09
C;<50;200-500;200-500;274.02;21.47;54.52
C;<50;200-500;500-1000;338.76;9.53;68.25
C;<50;200-500;1000-5000;0.0;0.0;0.0
C;<50;200-500;>5000;0.0;0.0;0.0
C;<50;500-1000;<50;144.72;6.84;29.96
C;<50;500-1000;50-100;182.84;2.81;35.81
C;<50;500-1000;100-200;211.61;9.33;43.46
C;<50;500-1000;200-500;375.48;17.49;76.31
C;<50;500-1000;500-1000;229.36;25.51;47.15
C;<50;500-1000;1000-5000;160.63;10.8;30.01
C;<50;500-1000;>5000;0.0;0.0;0.0
C;<50;1000-5000;<50;287.21;2.41;57.8
C;<50;1000-5000;50-100;121.96;58.72;28.73
C;<50;1000-5000;100-200;127.51;43.02;27.31
C;<50;1000-5000;200-500;195.28;10.91;43.02
C;<50;1000-5000;500-1000;345.87;3.27;69.07
C;<50;1000-5000;1000-5000;167.31;73.17;34.68
C;<50;1000-5000;>5000;0.0;0.0;0.0
C;<50;5000-10000;<50;0.0;0.0;0.0
C;<50;5000-10000;50-100;0.0;0.0;0.0
C;<50;5000-10000;100-200;0.0;0.0;0.0
C;<50;5000-10000;200-500;0.0;0.0;0.0
C;<50;5000-10000;500-1000;0.0;0.0;0.0
C;<50;5000-10000;1000-5000;0.0;0.0;0.0
C;<50;5000-10000;>5000;0.0;0.0;0.0
C;<50;>10000;<50;0.0;0.0;0.0
C;<50;>10000;50-100;0.0;0.0;0.0
C;<50;>10000;100-200;0.0;0.0;0.0
C;<50;>10000;200-500;0.0;0.0;0.0
C;<50;>10000;500-1000;0.0;0.0;0.0
C;<50;>10000;1000-5000;0.0;0.0;0.0
C;<50;>10000;>5000;0.0;0.0;0.0
C;50-100;<50;<50;0.0;0.0;0.0
C;50-100;<50;50-100;0.0;0.0;0.0
C;50-100;<50;100-200;0.0;0.0;0.0
C;50-100;<50;200-500;0.0;0.0;0.0
C;50-100;<50;500-1000;0.0;0.0;0.0
C;50-100;<50;1000-5000;0.0;0.0;0.0
C;50-100;<50;>5000;0.0;0.0;0.0
C;50-100;50-100;<50;135.74;7.98;26.87
C;50-100;50-100;50-100;163.43;8.39;32.25
C;50-100;50-100;100-200;151.84;16.41;32.71
C;50-100;50-100;200-500;217.94;16.92;43.96
C;50-100;50-100;500-1000;323.28;4.02;64.3
C;50-100;50-100;1000-5000;125.42;5.06;24.25
C;50-100;50-100;>5000;0.0;0.0;0.0
C;50-100;100-200;<50;113.32;13.45;23.31
C;50-100;100-200;50-100;127.53;11.53;25.74
C;50-100;100-200;100-200;159.53;16.07;32.46
C;50-100;100-200;200-500;221.55;20.26;45.27
C;50-100;100-200;500-1000;235.67;32.19;49.58
C;50-100;100-200;1000-5000;144.05;0.28;27.05
C;50-100;100-200;>5000;0.0;0.0;0.0
C;50-100;200-500;<50;104.2;9.67;21.36
C;50-100;200-500;50-100;105.84;9.29;21.52
C;50-100;200-500;100-200;132.12;12.79;26.62
C;50-100;200-500;200-500;195.11;18.25;39.1
C;50-100;200-500;500-1000;308.01;17.84;61.97
C;50-100;200-500;1000-5000;308.42;10.85;58.8
C;50-100;200-500;>5000;0.0;0.0;0.0
C;50-100;500-1000;<50;127.4;10.45;26.42
C;50-100;500-1000;50-100;162.33;7.83;32.98
C;50-100;500-1000;100-200;153.05;11.06;31.01
C;50-100;500-1000;200-500;227.88;19.57;45.98
C;50-100;500-1000;500-1000;298.44;22.27;60.07
C;50-100;500-1000;1000-5000;323.95;21.28;64.51
C;50-100;500-1000;>5000;0.0;0.0;0.0
C;50-100;1000-5000;<50;83.85;10.02;18.26
C;50-100;1000-5000;50-100;222.36;16.39;46.55
C;50-100;1000-5000;100-200;176.16;26.39;36.28
C;50-100;1000-5000;200-500;276.11;19.35;56.44
C;50-100;1000-5000;500-1000;382.73;12.13;77.67
C;50-100;1000-5000;1000-5000;168.42;11.7;32.25
C;50-100;1000-5000;>5000;0.0;0.0;0.0
C;50-100;5000-10000;<50;0.0;0.0;0.0
C;50-100;5000-10000;50-100;0.0;0.0;0.0
C;50-100;5000-10000;100-200;0.0;0.0;0.0
C;50-100;5000-10000;200-500;0.0;0.0;0.0
C;50-100;5000-10000;500-1000;0.0;0.0;0.0
C;50-100;5000-10000;1000-5000;0.0;0.0;0.0
C;50-100;5000-10000;>5000;0.0;0.0;0.0
C;50-100;>10000;<50;0.0;0.0;0.0
C;50-100;>10000;50-100;0.0;0.0;0.0
C;50-100;>10000;100-200;0.0;0.0;0.0
C;50-100;>10000;200-500;0.0;0.0;0.0
C;50-100;>10000;500-1000;0.0;0.0;0.0
C;50-100;>10000;1000-5000;0.0;0.0;0.0
C;50-100;>10000;>5000;0.0;0.0;0.0
C;100-200;<50;<50;0.0;0.0;0.0
C;100-200;<50;50-100;0.0;0.0;0.0
C;100-200;<50;100-200;0.0;0.0;0.0
C;100-200;<50;200-500;0.0;0.0;0.0
C;100-200;<50;500-1000;0.0;0.0;0.0
C;100-200;<50;1000-5000;0.0;0.0;0.0
C;100-200;<50;>5000;0.0;0.0;0.0
C;100-200;50-100;<50;165.19;13.23;30.78
C;100-200;50-100;50-100;213.9;23.76;42.31
C;100-200;50-100;100-200;109.43;13.36;21.92
C;100-200;50-100;200-500;170.82;16.51;35.68
C;100-200;50-100;500-1000;85.36;0.74;16.82
C;100-200;50-100;1000-5000;87.93;0.0;16.49
C;100-200;50-100;>5000;0.0;0.0;0.0
C;100-200;100-200;<50;139.8;8.18;26.96
C;100-200;100-200;50-100;120.86;9.77;23.16
C;100-200;100-200;100-200;135.02;9.63;26.95
C;100-200;100-200;200-500;163.87;14.3;34.28
C;100-200;100-200;500-1000;155.84;8.64;31.68
C;100-200;100-200;1000-5000;0.0;0.0;0.0
C;100-200;100-200;>5000;0.0;0.0;0.0
C;100-200;200-500;<50;105.38;11.59;21.66
C;100-200;200-500;50-100;90.58;6.04;18.34
C;100-200;200-500;100-200;104.42;7.53;21.01
C;100-200;200-500;200-500;157.11;15.76;31.6
C;100-200;200-500;500-1000;234.69;20.92;47.55
C;100-200;200-500;1000-5000;318.67;15.62;63.96
C;100-200;200-500;>5000;0.0;0.0;0.0
C;100-200;500-1000;<50;101.64;9.53;20.65
C;100-200;500-1000;50-100;90.93;6.6;18.58
C;100-200;500-1000;100-200;101.17;7.76;20.5
C;100-200;500-1000;200-500;146.46;16.92;29.44
C;100-200;500-1000;500-1000;188.53;24.56;37.86
C;100-200;500-1000;1000-5000;292.92;20.53;59.07
C;100-200;500-1000;>5000;0.0;0.0;0.0
C;100-200;1000-5000;<50;79.47;5.35;16.61
C;100-200;1000-5000;50-100;84.65;6.54;17.67
C;100-200;1000-5000;100-200;156.51;11.05;32.44
C;100-200;1000-5000;200-500;175.91;16.68;36.24
C;100-200;1000-5000;500-1000;226.37;29.41;46.4
C;100-200;1000-5000;1000-5000;293.78;25.6;59.48
C;100-200;1000-5000;>5000;0.0;0.0;0.0
C;100-200;5000-10000;<50;0.0;0.0;0.0
C;100-200;5000-10000;50-100;0.0;0.0;0.0
C;100-200;5000-10000;100-200;0.0;0.0;0.0
C;100-200;5000-10000;200-500;0.0;0.0;0.0
C;100-200;5000-10000;500-1000;0.0;0.0;0.0
C;100-200;5000-10000;1000-5000;0.0;0.0;0.0
C;100-200;5000-10000;>5000;0.0;0.0;0.0
C;100-200;>10000;<50;0.0;0.0;0.0
C;100-200;>10000;50-100;0.0;0.0;0.0
C;100-200;>10000;100-200;0.0;0.0;0.0
C;100-200;>10000;200-500;0.0;0.0;0.0
C;100-200;>10000;500-1000;0.0;0.0;0.0
C;100-200;>10000;1000-5000;0.0;0.0;0.0
C;100-200;>10000;>5000;0.0;0.0;0.0
C;200-500;<50;<50;0.0;0.0;0.0
C;200-500;<50;50-100;0.0;0.0;0.0
C;200-500;<50;100-200;0.0;0.0;0.0
C;200-500;<50;200-500;0.0;0.0;0.0
C;200-500;<50;500-1000;0.0;0.0;0.0
C;200-500;<50;1000-5000;0.0;0.0;0.0
C;200-500;<50;>5000;0.0;0.0;0.0
C;200-500;50-100;<50;0.0;0.0;0.0
C;200-500;50-100;50-100;0.0;0.0;0.0
C;200-500;50-100;100-200;237.15;48.42;51.03
C;200-500;50-100;200-500;91.1;1.12;50.06
C;200-500;50-100;500-1000;425.95;0.0;25.74
C;200-500;50-100;1000-5000;0.0;0.0;0.0
C;200-500;50-100;>5000;0.0;0.0;0.0
C;200-500;100-200;<50;0.0;0.0;0.0
C;200-500;100-200;50-100;102.58;1.17;20.13
C;200-500;100-200;100-200;101.02;4.14;20.18
C;200-500;100-200;200-500;92.02;44.39;24.66
C;200-500;100-200;500-1000;197.37;0.08;39.96
C;200-500;100-200;1000-5000;400.15;0.47;75.11
C;200-500;100-200;>5000;0.0;0.0;0.0
C;200-500;200-500;<50;57.72;4.73;11.9
C;200-500;200-500;50-100;84.01;1.62;16.44
C;200-500;200-500;100-200;101.96;3.89;20.99
C;200-500;200-500;200-500;102.28;18.42;21.17
C;200-500;200-500;500-1000;174.66;9.66;36.32
C;200-500;200-500;1000-5000;159.19;7.26;32.57
C;200-500;200-500;>5000;0.0;0.0;0.0
C;200-500;500-1000;<50;84.77;7.13;17.21
C;200-500;500-1000;50-100;91.81;11.94;19.16
C;200-500;500-1000;100-200;88.93;7.18;18.04
C;200-500;500-1000;200-500;106.51;13.08;21.52
C;200-500;500-1000;500-1000;140.9;23.19;28.48
C;200-500;500-1000;1000-5000;204.46;21.09;41.94
C;200-500;500-1000;>5000;0.0;0.0;0.0
C;200-500;1000-5000;<50;68.32;5.34;13.82
C;200-500;1000-5000;50-100;96.81;18.34;20.56
C;200-500;1000-5000;100-200;80.07;7.65;16.51
C;200-500;1000-5000;200-500;102.54;11.49;20.67
C;200-500;1000-5000;500-1000;131.34;22.35;26.41
C;200-500;1000-5000;1000-5000;167.46;23.48;33.68
C;200-500;1000-5000;>5000;0.0;0.0;0.0
C;200-500;5000-10000;<50;0.0;0.0;0.0
C;200-500;5000-10000;50-100;0.0;0.0;0.0
C;200-500;5000-10000;100-200;0.0;0.0;0.0
C;200-500;5000-10000;200-500;0.0;0.0;0.0
C;200-500;5000-10000;500-1000;0.0;0.0;0.0
C;200-500;5000-10000;1000-5000;0.0;0.0;0.0
C;200-500;5000-10000;>5000;0.0;0.0;0.0
C;200-500;>10000;<50;0.0;0.0;0.0
C;200-500;>10000;50-100;0.0;0.0;0.0
C;200-500;>10000;100-200;0.0;0.0;0.0
C;200-500;>10000;200-500;0.0;0.0;0.0
C;200-500;>10000;500-1000;0.0;0.0;0.0
C;200-500;>10000;1000-5000;0.0;0.0;0.0
C;200-500;>10000;>5000;0.0;0.0;0.0
C;500-1000;<50;<50;0.0;0.0;0.0
C;500-1000;<50;50-100;0.0;0.0;0.0
C;500-1000;<50;100-200;0.0;0.0;0.0
C;500-1000;<50;200-500;0.0;0.0;0.0
C;500-1000;<50;500-1000;0.0;0.0;0.0
C;500-1000;<50;1000-5000;0.0;0.0;0.0
C;500-1000;<50;>5000;0.0;0.0;0.0
C;500-1000;50-100;<50;0.0;0.0;0.0
C;500-1000;50-100;50-100;0.0;0.0;0.0
C;500-1000;50-100;100-200;0.0;0.0;0.0
C;500-1000;50-100;200-500;0.0;0.0;0.0
C;500-1000;50-100;500-1000;0.0;0.0;0.0
C;500-1000;50-100;1000-5000;0.0;0.0;0.0
C;500-1000;50-100;>5000;0.0;0.0;0.0
C;500-1000;100-200;<50;0.0;0.0;0.0
C;500-1000;100-200;50-100;0.0;0.0;0.0
C;500-1000;100-200;100-200;0.0;0.0;0.0
C;500-1000;100-200;200-500;0.0;0.0;0.0
C;500-1000;100-200;500-1000;0.0;0.0;0.0
C;500-1000;100-200;1000-5000;0.0;0.0;0.0
C;500-1000;100-200;>5000;0.0;0.0;0.0
C;500-1000;200-500;<50;0.0;0.0;0.0
