zona_climatica;suris_range;volris_range;supdi_range;EPgl_nren;EPgl_ren;CO2
A;100-200;50-100;50-100;0.0;0.0;0.0
A;100-200;50-100;100-200;0.0;0.0;0.0
A;100-200;50-100;200-500;0.0;0.0;0.0
A;100-200;50-100;500-1000;0.0;0.0;0.0
A;100-200;50-100;1000-5000;0.0;0.0;0.0
A;100-200;50-100;>5000;0.0;0.0;0.0
A;100-200;100-200;<50;0.0;0.0;0.0
A;100-200;100-200;50-100;0.0;0.0;0.0
A;100-200;100-200;100-200;0.0;0.0;0.0
A;100-200;100-200;200-500;0.0;0.0;0.0
A;100-200;100-200;500-1000;0.0;0.0;0.0
A;100-200;100-200;1000-5000;0.0;0.0;0.0
A;100-200;100-200;>5000;0.0;0.0;0.0
A;100-200;200-500;<50;89.52;0.36;18.22
A;100-200;200-500;50-100;61.36;12.44;13.76
A;100-200;200-500;100-200;71.72;11.63;15.64
A;100-200;200-500;200-500;104.07;18.5;21.88
A;100-200;200-500;500-1000;153.97;4.55;30.95
A;100-200;200-500;1000-5000;155.46;6.68;32.09
A;100-200;200-500;>5000;0.0;0.0;0.0
A;100-200;500-1000;<50;122.03;27.63;15.71
A;100-200;500-1000;50-100;0.0;0.0;0.0
A;100-200;500-1000;100-200;72.33;10.86;15.12
A;100-200;500-1000;200-500;111.2;13.92;23.03
A;100-200;500-1000;500-1000;141.5;31.34;29.19
A;100-200;500-1000;1000-5000;203.71;91.19;43.11
A;100-200;500-1000;>5000;0.0;0.0;0.0
A;100-200;1000-5000;<50;0.0;0.0;0.0
A;100-200;1000-5000;50-100;0.0;0.0;0.0
A;100-200;1000-5000;100-200;0.0;0.0;0.0
A;100-200;1000-5000;200-500;85.92;6.21;18.11
A;100-200;1000-5000;500-1000;160.35;6.37;32.78
A;100-200;1000-5000;1000-5000;0.0;0.0;0.0
A;100-200;1000-5000;>5000;0.0;0.0;0.0
A;100-200;5000-10000;<50;0.0;0.0;0.0
A;100-200;5000-10000;50-100;0.0;0.0;0.0
A;100-200;5000-10000;100-200;0.0;0.0;0.0
A;100-200;5000-10000;200-500;0.0;0.0;0.0
A;100-200;5000-10000;500-1000;0.0;0.0;0.0
A;100-200;5000-10000;1000-5000;0.0;0.0;0.0
A;100-200;5000-10000;>5000;0.0;0.0;0.0
A;100-200;>10000;<50;0.0;0.0;0.0
A;100-200;>10000;50-100;0.0;0.0;0.0
A;100-200;>10000;100-200;0.0;0.0;0.0
A;100-200;>10000;200-500;0.0;0.0;0.0
A;100-200;>10000;500-1000;0.0;0.0;0.0
A;100-200;>10000;1000-5000;0.0;0.0;0.0
A;100-200;>10000;>5000;0.0;0.0;0.0
A;200-500;<50;<50;0.0;0.0;0.0
A;200-500;<50;50-100;0.0;0.0;0.0
A;200-500;<50;100-200;0.0;0.0;0.0
A;200-500;<50;200-500;0.0;0.0;0.0
A;200-500;<50;500-1000;0.0;0.0;0.0
A;200-500;<50;1000-5000;0.0;0.0;0.0
A;200-500;<50;>5000;0.0;0.0;0.0
A;200-500;50-100;<50;0.0;0.0;0.0
A;200-500;50-100;50-100;0.0;0.0;0.0
A;200-500;50-100;100-200;0.0;0.0;0.0
A;200-500;50-100;200-500;0.0;0.0;0.0
A;200-500;50-100;500-1000;0.0;0.0;0.0
A;200-500;50-100;1000-5000;0.0;0.0;0.0
A;200-500;50-100;>5000;0.0;0.0;0.0
A;200-500;100-200;<50;0.0;0.0;0.0
A;200-500;100-200;50-100;0.0;0.0;0.0
A;200-500;100-200;100-200;0.0;0.0;0.0
A;200-500;100-200;200-500;0.0;0.0;0.0
A;200-500;100-200;500-1000;0.0;0.0;0.0
A;200-500;100-200;1000-5000;0.0;0.0;0.0
A;200-500;100-200;>5000;0.0;0.0;0.0
A;200-500;200-500;<50;0.0;0.0;0.0
A;200-500;200-500;50-100;0.0;0.0;0.0
A;200-500;200-500;100-200;37.88;5.43;8.38
A;200-500;200-500;200-500;0.0;0.0;0.0
A;200-500;200-500;500-1000;0.0;0.0;0.0
A;200-500;200-500;1000-5000;0.0;0.0;0.0
A;200-500;200-500;>5000;0.0;0.0;0.0
A;200-500;500-1000;<50;51.12;10.54;11.79
A;200-500;500-1000;50-100;0.0;0.0;0.0
A;200-500;500-1000;100-200;0.0;0.0;0.0
A;200-500;500-1000;200-500;86.15;10.36;18.03
A;200-500;500-1000;500-1000;88.4;25.6;18.8
A;200-500;500-1000;1000-5000;0.0;0.0;0.0
A;200-500;500-1000;>5000;0.0;0.0;0.0
A;200-500;1000-5000;<50;0.0;0.0;0.0
A;200-500;1000-5000;50-100;64.48;8.61;14.18
A;200-500;1000-5000;100-200;0.0;0.0;0.0
A;200-500;1000-5000;200-500;0.0;0.0;0.0
A;200-500;1000-5000;500-1000;93.68;5.16;19.14
A;200-500;1000-5000;1000-5000;38.77;62.96;8.16
A;200-500;1000-5000;>5000;0.0;0.0;0.0
A;200-500;5000-10000;<50;0.0;0.0;0.0
A;200-500;5000-10000;50-100;0.0;0.0;0.0
A;200-500;5000-10000;100-200;0.0;0.0;0.0
A;200-500;5000-10000;200-500;0.0;0.0;0.0
A;200-500;5000-10000;500-1000;0.0;0.0;0.0
A;200-500;5000-10000;1000-5000;0.0;0.0;0.0
A;200-500;5000-10000;>5000;0.0;0.0;0.0
A;200-500;>10000;<50;0.0;0.0;0.0
A;200-500;>10000;50-100;0.0;0.0;0.0
A;200-500;>10000;100-200;0.0;0.0;0.0
A;200-500;>10000;200-500;0.0;0.0;0.0
A;200-500;>10000;500-1000;0.0;0.0;0.0
A;200-500;>10000;1000-5000;0.0;0.0;0.0
A;200-500;>10000;>5000;0.0;0.0;0.0
A;500-1000;<50;<50;0.0;0.0;0.0
A;500-1000;<50;50-100;0.0;0.0;0.0
A;500-1000;<50;100-200;0.0;0.0;0.0
A;500-1000;<50;200-500;0.0;0.0;0.0
A;500-1000;<50;500-1000;0.0;0.0;0.0
A;500-1000;<50;1000-5000;0.0;0.0;0.0
A;500-1000;<50;>5000;0.0;0.0;0.0
A;500-1000;50-100;<50;0.0;0.0;0.0
A;500-1000;50-100;50-100;0.0;0.0;0.0
A;500-1000;50-100;100-200;0.0;0.0;0.0
A;500-1000;50-100;200-500;0.0;0.0;0.0
A;500-1000;50-100;500-1000;0.0;0.0;0.0
A;500-1000;50-100;1000-5000;0.0;0.0;0.0
A;500-1000;50-100;>5000;0.0;0.0;0.0
A;500-1000;100-200;<50;0.0;0.0;0.0
A;500-1000;100-200;50-100;0.0;0.0;0.0
A;500-1000;100-200;100-200;0.0;0.0;0.0
A;500-1000;100-200;200-500;0.0;0.0;0.0
A;500-1000;100-200;500-1000;0.0;0.0;0.0
A;500-1000;100-200;1000-5000;0.0;0.0;0.0
A;500-1000;100-200;>5000;0.0;0.0;0.0
A;500-1000;200-500;<50;0.0;0.0;0.0
A;500-1000;200-500;50-100;0.0;0.0;0.0
A;500-1000;200-500;100-200;0.0;0.0;0.0
A;500-1000;200-500;200-500;0.0;0.0;0.0
A;500-1000;200-500;500-1000;0.0;0.0;0.0
A;500-1000;200-500;1000-5000;0.0;0.0;0.0
A;500-1000;200-500;>5000;0.0;0.0;0.0
A;500-1000;500-1000;<50;0.0;0.0;0.0
A;500-1000;500-1000;50-100;0.0;0.0;0.0
A;500-1000;500-1000;100-200;0.0;0.0;0.0
A;500-1000;500-1000;200-500;0.0;0.0;0.0
A;500-1000;500-1000;500-1000;0.0;0.0;0.0
A;500-1000;500-1000;1000-5000;0.0;0.0;0.0
A;500-1000;500-1000;>5000;0.0;0.0;0.0
A;500-1000;1000-5000;<50;0.0;0.0;0.0
A;500-1000;1000-5000;50-100;0.0;0.0;0.0
A;500-1000;1000-5000;100-200;0.0;0.0;0.0
A;500-1000;1000-5000;200-500;0.0;0.0;0.0
A;500-1000;1000-5000;500-1000;0.0;0.0;0.0
A;500-1000;1000-5000;1000-5000;0.0;0.0;0.0
A;500-1000;1000-5000;>5000;0.0;0.0;0.0
A;500-1000;5000-10000;<50;0.0;0.0;0.0
A;500-1000;5000-10000;50-100;0.0;0.0;0.0
A;500-1000;5000-10000;100-200;0.0;0.0;0.0
A;500-1000;5000-10000;200-500;0.0;0.0;0.0
A;500-1000;5000-10000;500-1000;0.0;0.0;0.0
A;500-1000;5000-10000;1000-5000;0.0;0.0;0.0
A;500-1000;5000-10000;>5000;0.0;0.0;0.0
A;500-1000;>10000;<50;0.0;0.0;0.0
A;500-1000;>10000;50-100;0.0;0.0;0.0
A;500-1000;>10000;100-200;0.0;0.0;0.0
A;500-1000;>10000;200-500;0.0;0.0;0.0
A;500-1000;>10000;500-1000;0.0;0.0;0.0
A;500-1000;>10000;1000-5000;0.0;0.0;0.0
A;500-1000;>10000;>5000;0.0;0.0;0.0
A;1000-5000;<50;<50;0.0;0.0;0.0
A;1000-5000;<50;50-100;0.0;0.0;0.0
A;1000-5000;<50;100-200;0.0;0.0;0.0
A;1000-5000;<50;200-500;0.0;0.0;0.0
A;1000-5000;<50;500-1000;0.0;0.0;0.0
A;1000-5000;<50;1000-5000;0.0;0.0;0.0
A;1000-5000;<50;>5000;0.0;0.0;0.0
A;1000-5000;50-100;<50;0.0;0.0;0.0
A;1000-5000;50-100;50-100;0.0;0.0;0.0
A;1000-5000;50-100;100-200;0.0;0.0;0.0
A;1000-5000;50-100;200-500;0.0;0.0;0.0
A;1000-5000;50-100;500-1000;0.0;0.0;0.0
A;1000-5000;50-100;1000-5000;0.0;0.0;0.0
A;1000-5000;50-100;>5000;0.0;0.0;0.0
A;1000-5000;100-200;<50;0.0;0.0;0.0
A;1000-5000;100-200;50-100;0.0;0.0;0.0
A;1000-5000;100-200;100-200;0.0;0.0;0.0
A;1000-5000;100-200;200-500;0.0;0.0;0.0
A;1000-5000;100-200;500-1000;0.0;0.0;0.0
A;1000-5000;100-200;1000-5000;0.0;0.0;0.0
A;1000-5000;100-200;>5000;0.0;0.0;0.0
A;1000-5000;200-500;<50;0.0;0.0;0.0
A;1000-5000;200-500;50-100;0.0;0.0;0.0
A;1000-5000;200-500;100-200;0.0;0.0;0.0
A;1000-5000;200-500;200-500;0.0;0.0;0.0
A;1000-5000;200-500;500-1000;0.0;0.0;0.0
A;1000-5000;200-500;1000-5000;0.0;0.0;0.0
A;1000-5000;200-500;>5000;0.0;0.0;0.0
A;1000-5000;500-1000;<50;0.0;0.0;0.0
A;1000-5000;500-1000;50-100;0.0;0.0;0.0
A;1000-5000;500-1000;100-200;0.0;0.0;0.0
A;1000-5000;500-1000;200-500;0.0;0.0;0.0
A;1000-5000;500-1000;500-1000;0.0;0.0;0.0
A;1000-5000;500-1000;1000-5000;0.0;0.0;0.0
A;1000-5000;500-1000;>5000;0.0;0.0;0.0
A;1000-5000;1000-5000;<50;0.0;0.0;0.0
A;1000-5000;1000-5000;50-100;0.0;0.0;0.0
A;1000-5000;1000-5000;100-200;0.0;0.0;0.0
A;1000-5000;1000-5000;200-500;0.0;0.0;0.0
A;1000-5000;1000-5000;500-1000;0.0;0.0;0.0
A;1000-5000;1000-5000;1000-5000;0.0;0.0;0.0
A;1000-5000;1000-5000;>5000;0.0;0.0;0.0
A;1000-5000;5000-10000;<50;0.0;0.0;0.0
A;1000-5000;5000-10000;50-100;0.0;0.0;0.0
A;1000-5000;5000-10000;100-200;0.0;0.0;0.0
A;1000-5000;5000-10000;200-500;0.0;0.0;0.0
A;1000-5000;5000-10000;500-1000;0.0;0.0;0.0
