CODREG;REGIONE;CODPRO;PROVINCIA;CODCOM;COMUNE;PROCOM;SEZ2011;NSEZ;ACE;CODLOC;CODASC;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P64;P65;P66;P128;P129;P130;P131;P132;P135;P136;P137;P138;P139;P140;ST1;ST2;ST3;ST4;ST5;ST6;ST7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;A2;A3;A5;A6;A7;A44;A46;A47;A48;PF1;PF2;PF3;PF4;PF5;PF6;PF7;PF8;PF9;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;13;Challand-Saint-Anselme;7013;70130000002;2;0;10002;;47;23;24;20;20;0;5;2;11;11;0;1;0;1;1;3;3;2;3;4;2;1;4;5;2;5;2;3;6;1;1;2;0;2;2;1;1;0;1;2;1;4;1;3;1;46;5;12;14;13;2;0;22;1;4;9;6;2;0;23;23;0;10;10;0;19;9;1;3;0;0;0;9;12;15;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;83;0;83;0;1555;0;17;7;24;47;12;5;4;2;1;0;0;79;64;60;4;52;1;7;11;15;9;8;12;2;2;1;0;2;17;32;9;32;19;8;0;0;1;110;12;32;16;0
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;13;Challand-Saint-Anselme;7013;70130000003;3;0;20011;;107;52;55;41;54;1;9;2;24;27;0;1;0;5;7;6;3;6;7;4;5;10;12;7;3;9;5;8;10;3;4;4;0;4;4;1;4;3;5;2;3;5;2;4;4;101;10;27;36;18;10;0;48;4;11;19;9;5;0;50;46;4;26;25;1;39;15;3;5;1;3;2;23;28;28;12;7;3;3;4;0;2;1;0;7;0;0;0;0;0;7;50;244;0;244;0;3925;3;40;8;51;107;24;10;7;8;2;0;0;170;153;142;11;47;0;95;1;0;7;15;43;54;12;8;2;2;30;79;31;14;40;79;9;0;0;400;63;79;0;0
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;13;Challand-Saint-Anselme;7013;70130000004;4;0;10003;;151;78;73;66;68;4;7;6;38;35;2;0;3;6;6;6;9;14;12;6;13;11;13;13;10;5;11;6;10;5;2;4;5;5;5;4;6;5;10;6;7;3;6;3;2;144;8;46;53;30;7;0;73;2;24;30;15;2;0;81;75;6;47;45;2;52;20;7;10;4;11;6;35;46;24;10;24;16;17;7;0;11;5;0;23;1;0;0;0;0;24;76;140;0;140;0;5570;14;51;11;76;151;36;20;10;6;3;1;6;138;103;95;8;67;0;28;23;17;10;7;14;15;7;2;0;0;38;38;19;42;23;19;10;1;0;218;24;57;14;0
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;13;Challand-Saint-Anselme;7013;70130000005;5;0;40001;;8;5;3;3;4;0;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;3;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;2;8;0;0;2;6;0;0;5;0;0;2;3;0;0;1;1;0;1;1;0;7;4;1;0;0;1;1;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;9;0;9;0;198;0;4;0;4;8;1;2;1;0;0;0;0;12;12;12;0;10;0;2;4;1;1;2;1;3;0;0;0;0;9;2;1;11;1;0;0;0;0;13;5;5;2;0
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;13;Challand-Saint-Anselme;7013;70130000006;6;0;20005;;50;24;26;22;19;2;4;3;9;9;1;3;2;2;3;2;2;0;3;1;6;5;2;2;2;4;4;3;9;1;1;1;1;0;2;0;3;1;2;2;1;3;2;0;4;47;1;5;21;18;2;0;23;1;3;9;9;1;0;19;17;2;10;9;1;24;11;4;2;1;0;0;6;14;18;9;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;19;91;1;90;1;1082;10;7;5;22;43;9;9;1;2;1;0;0;40;28;22;6;4;0;18;1;1;1;6;8;3;2;0;0;0;3;13;6;0;3;13;2;1;3;132;7;14;1;0
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;13;Challand-Saint-Anselme;7013;70130000007;7;0;20007;;24;11;13;13;10;1;0;0;5;5;1;0;0;5;1;0;0;1;4;4;1;1;0;0;0;3;1;2;1;1;1;0;0;0;2;1;1;1;0;0;0;2;0;1;1;18;8;1;6;3;0;0;9;3;0;4;2;0;0;12;11;1;6;6;0;6;3;0;0;0;0;0;7;5;6;3;3;1;3;0;0;1;0;0;3;0;0;0;0;0;3;10;23;0;23;0;648;2;6;2;10;24;2;4;2;2;0;0;0;27;24;21;3;17;3;1;11;0;0;2;6;0;1;0;1;2;7;9;3;11;4;6;0;0;0;37;10;8;3;0
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;13;Challand-Saint-Anselme;7013;70130000008;8;0;20008;;26;15;11;12;14;0;0;0;8;7;0;0;0;5;3;1;0;0;0;5;4;1;0;0;2;2;0;2;1;4;1;1;0;0;0;1;3;1;0;0;0;2;0;1;1;20;1;6;5;6;2;0;11;0;2;4;4;1;0;9;8;1;5;5;0;8;4;3;0;0;0;0;10;5;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;22;0;22;0;555;0;6;3;9;26;1;3;1;4;0;0;0;32;25;18;7;13;3;2;8;0;3;5;1;1;0;0;0;0;7;10;1;6;10;1;1;0;0;35;11;4;1;2
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;13;Challand-Saint-Anselme;7013;70130000009;9;0;20009;;31;18;13;9;19;0;1;2;6;10;0;0;2;1;1;1;0;3;1;3;0;2;4;2;2;0;2;4;5;1;1;0;0;1;1;3;0;0;3;1;1;0;1;2;3;30;1;5;9;14;1;0;17;0;4;5;7;1;0;12;12;0;9;9;0;16;7;2;1;0;0;0;10;4;13;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;37;0;37;0;1380;1;14;1;16;31;6;5;5;0;0;0;0;65;40;30;10;27;3;0;19;1;0;2;5;2;1;0;0;1;7;16;6;13;12;3;2;0;0;57;14;8;2;6
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;13;Challand-Saint-Anselme;7013;70130000010;10;0;20006;;25;12;13;6;12;0;5;2;2;7;0;1;2;0;0;0;0;1;0;1;1;1;2;1;3;0;3;4;8;0;0;0;0;0;0;1;0;1;1;0;1;0;2;3;3;25;1;12;4;8;0;0;12;0;8;2;2;0;0;8;6;2;4;2;2;17;8;2;0;0;0;0;3;3;15;8;4;2;0;2;2;0;1;1;4;0;0;0;0;0;4;20;88;0;88;0;1290;2;15;3;20;25;15;5;0;0;0;0;0;72;53;51;2;42;0;9;6;11;13;5;16;0;0;0;0;2;26;19;4;26;13;6;5;1;0;110;9;35;7;0
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;13;Challand-Saint-Anselme;7013;70130000011;11;0;20001;;30;18;12;6;20;0;3;1;4;11;0;2;1;0;0;1;1;3;1;2;2;2;2;3;5;2;2;1;3;0;0;0;1;2;1;1;2;0;2;1;4;0;1;1;2;30;3;11;7;9;0;0;18;2;8;5;3;0;0;13;13;0;9;9;0;16;9;2;1;1;2;1;2;7;11;7;1;1;0;1;0;0;1;0;1;0;0;0;0;0;1;16;84;0;84;0;1092;2;11;3;16;30;7;6;2;0;1;0;0;58;55;50;5;32;0;18;0;3;7;2;18;9;9;2;0;2;10;30;8;5;13;30;2;0;0;144;25;20;5;0
